14.0 8.0 10.0	0 0 0	0 1 0	1.1
13.0 8.0 10.0	0 0 0	0 1 0	1.1
12.0 8.0 10.0	0 0 0	0 1 0	1.1
11.0 8.0 10.0	0 0 0	0 1 0	1.1
10.0 8.0 10.0	0 0 0	0 1 0	1.1
09.0 8.0 10.0	0 0 0	0 1 0	1.1
08.0 8.0 10.0	0 0 0	0 1 0	1.1
07.0 8.0 10.0	0 0 0	0 1 0	1.1
06.0 8.0 10.0	0 0 0	0 1 0	1.1
05.0 8.0 10.0	0 0 0	0 1 0	1.1
04.0 8.0 10.0	0 0 0	0 1 0	1.1
03.0 8.0 10.0	0 0 0	0 1 0	1.1
02.0 8.0 10.0	0 0 0	0 1 0	1.1
01.0 8.0 10.0	0 0 0	0 1 0	1.1
00.0 8.0 10.0	0 0 0	0 1 0	1.1
-01.0 8.0 10.0	0 0 0	0 1 0	1.1
-02.0 8.0 10.0	0 0 0	0 1 0	1.1
-03.0 8.0 10.0	0 0 0	0 1 0	1.1
-04.0 8.0 10.0	0 0 0	0 1 0	1.1
-05.0 8.0 10.0	0 0 0	0 1 0	1.1
-06.0 8.0 10.0	0 0 0	0 1 0	1.1
-07.0 8.0 10.0	0 0 0	0 1 0	1.1
-08.0 8.0 10.0	0 0 0	0 1 0	1.1
-09.0 8.0 10.0	0 0 0	0 1 0	1.1
-10.0 8.0 10.0	0 0 0	0 1 0	1.1
-11.0 8.0 10.0	0 0 0	0 1 0	1.1
-12.0 8.0 10.0	0 0 0	0 1 0	1.1
-13.0 8.0 10.0	0 0 0	0 1 0	1.1
-14.0 8.0 10.0	0 0 0	0 1 0	1.1
