2.400000 0.330000 2.100000	0 0 0	0 1 0	1.3
2.376000 0.326700 2.079000	0 0 0	0 1 0	1.3
2.352000 0.323400 2.058000	0 0 0	0 1 0	1.3
2.328000 0.320100 2.037000	0 0 0	0 1 0	1.3
2.304000 0.316800 2.016000	0 0 0	0 1 0	1.3
2.280000 0.313500 1.995000	0 0 0	0 1 0	1.3
2.256000 0.310200 1.974000	0 0 0	0 1 0	1.3
2.232000 0.306900 1.953000	0 0 0	0 1 0	1.3
2.208000 0.303600 1.932000	0 0 0	0 1 0	1.3
2.184000 0.300300 1.911000	0 0 0	0 1 0	1.3
2.160000 0.297000 1.890000	0 0 0	0 1 0	1.3
2.136000 0.293700 1.869000	0 0 0	0 1 0	1.3
2.112000 0.290400 1.848000	0 0 0	0 1 0	1.3
2.088000 0.287100 1.827000	0 0 0	0 1 0	1.3
2.064000 0.283800 1.806000	0 0 0	0 1 0	1.3
2.040000 0.280500 1.785000	0 0 0	0 1 0	1.3
2.016000 0.277200 1.764000	0 0 0	0 1 0	1.3
1.992000 0.273900 1.743000	0 0 0	0 1 0	1.3
1.968000 0.270600 1.722000	0 0 0	0 1 0	1.3
1.944000 0.267300 1.701000	0 0 0	0 1 0	1.3
1.920000 0.264000 1.680000	0 0 0	0 1 0	1.3
1.896000 0.260700 1.659000	0 0 0	0 1 0	1.3
1.872000 0.257400 1.638000	0 0 0	0 1 0	1.3
1.848000 0.254100 1.617000	0 0 0	0 1 0	1.3
1.824000 0.250800 1.596000	0 0 0	0 1 0	1.3
1.800000 0.247500 1.575000	0 0 0	0 1 0	1.3
1.776000 0.244200 1.554000	0 0 0	0 1 0	1.3
1.752000 0.240900 1.533000	0 0 0	0 1 0	1.3
1.728000 0.237600 1.512000	0 0 0	0 1 0	1.3
1.704000 0.234300 1.491000	0 0 0	0 1 0	1.3
1.680000 0.231000 1.470000	0 0 0	0 1 0	1.3
1.656000 0.227700 1.449000	0 0 0	0 1 0	1.3
1.632000 0.224400 1.428000	0 0 0	0 1 0	1.3
1.608000 0.221100 1.407000	0 0 0	0 1 0	1.3
1.584000 0.217800 1.386000	0 0 0	0 1 0	1.3
1.560000 0.214500 1.365000	0 0 0	0 1 0	1.3
1.536000 0.211200 1.344000	0 0 0	0 1 0	1.3
1.512000 0.207900 1.323000	0 0 0	0 1 0	1.3
1.488000 0.204600 1.302000	0 0 0	0 1 0	1.3
1.464000 0.201300 1.281000	0 0 0	0 1 0	1.3
1.440000 0.198000 1.260000	0 0 0	0 1 0	1.3
1.416000 0.194700 1.239000	0 0 0	0 1 0	1.3
1.392000 0.191400 1.218000	0 0 0	0 1 0	1.3
1.368000 0.188100 1.197000	0 0 0	0 1 0	1.3
1.344000 0.184800 1.176000	0 0 0	0 1 0	1.3
1.320000 0.181500 1.155000	0 0 0	0 1 0	1.3
1.296000 0.178200 1.134000	0 0 0	0 1 0	1.3
1.272000 0.174900 1.113000	0 0 0	0 1 0	1.3
1.248000 0.171600 1.092000	0 0 0	0 1 0	1.3
1.224000 0.168300 1.071000	0 0 0	0 1 0	1.3
1.200000 0.165000 1.050000	0 0 0	0 1 0	1.3
1.176000 0.161700 1.029000	0 0 0	0 1 0	1.3
1.152000 0.158400 1.008000	0 0 0	0 1 0	1.3
1.128000 0.155100 0.987000	0 0 0	0 1 0	1.3
1.104000 0.151800 0.966000	0 0 0	0 1 0	1.3
1.080000 0.148500 0.945000	0 0 0	0 1 0	1.3
1.056000 0.145200 0.924000	0 0 0	0 1 0	1.3
1.032000 0.141900 0.903000	0 0 0	0 1 0	1.3
1.008000 0.138600 0.882000	0 0 0	0 1 0	1.3
0.984000 0.135300 0.861000	0 0 0	0 1 0	1.3
0.960000 0.132000 0.840000	0 0 0	0 1 0	1.3
0.936000 0.128700 0.819000	0 0 0	0 1 0	1.3
0.912000 0.125400 0.798000	0 0 0	0 1 0	1.3
0.888000 0.122100 0.777000	0 0 0	0 1 0	1.3
0.864000 0.118800 0.756000	0 0 0	0 1 0	1.3
0.840000 0.115500 0.735000	0 0 0	0 1 0	1.3
0.816000 0.112200 0.714000	0 0 0	0 1 0	1.3
0.792000 0.108900 0.693000	0 0 0	0 1 0	1.3
0.768000 0.105600 0.672000	0 0 0	0 1 0	1.3
0.744000 0.102300 0.651000	0 0 0	0 1 0	1.3
0.720000 0.099000 0.630000	0 0 0	0 1 0	1.3
0.696000 0.095700 0.609000	0 0 0	0 1 0	1.3
0.672000 0.092400 0.588000	0 0 0	0 1 0	1.3
0.648000 0.089100 0.567000	0 0 0	0 1 0	1.3
0.624000 0.085800 0.546000	0 0 0	0 1 0	1.3
0.600000 0.082500 0.525000	0 0 0	0 1 0	1.3
0.576000 0.079200 0.504000	0 0 0	0 1 0	1.3
0.552000 0.075900 0.483000	0 0 0	0 1 0	1.3
0.528000 0.072600 0.462000	0 0 0	0 1 0	1.3
0.504000 0.069300 0.441000	0 0 0	0 1 0	1.3
0.480000 0.066000 0.420000	0 0 0	0 1 0	1.3
